cycle,actual_acc,actual_valid
1730,1620,1
1731,1620,0
1732,-5706,1
1733,-5706,0
1734,-5706,0
1735,-5706,0
1736,-5706,0
1737,-5706,0
1738,-5706,0
1739,-5706,0
1740,-5706,0
1741,-5706,0
1742,-5706,0
1743,-5706,0
1744,-5706,0
1745,-5706,0
1746,-5706,0
1747,-5706,0
1748,-5706,0
1749,-5328,1
1750,-5328,0
1751,9309,1
1752,9309,0
1753,9309,0
1754,8277,1
1755,8277,0
1756,8277,0
1757,8277,0
1758,-1173,1
1759,0,0
1760,2814,1
1761,2814,0
1762,2814,0
1763,2814,0
1764,2814,0
1765,2814,0
1766,0,0
1767,0,0
1768,0,0
1769,0,0
1770,0,0
1771,-6014,1
1772,-6014,0
1773,-6014,0
1774,-6014,0
1775,-6014,0
1776,-6014,0
1777,-6014,0
1778,-6014,0
1779,-6014,0
1780,-6014,0
1781,-5416,1
1782,-5416,0
1783,-4744,1
1784,-2161,1
1785,-2173,1
1786,0,0
1787,0,0
1788,0,0
1789,0,0
1790,0,0
1791,0,0
1792,0,0
1793,0,0
1794,0,0
1795,0,0
1796,0,0
1797,0,0
1798,0,0
1799,0,0
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
